excluded,remaining_inpatients,ratio_patient_days_represented,ratio_beds_represented
I:A102,66,2.8987906833404837,2.7923215063704085
A:H1,77,3.5772310560371925,3.445843561052844
G:E5,80,3.7622602485908403,3.6240768486935084
C:3F,82,3.885613043626606,3.7428990404539517
J:3H,82,3.885613043626606,3.7428990404539517
I:E002,83,3.9472894411444885,3.802310136334173
A:D4,83,3.9472894411444885,3.802310136334173
N:9D,84,4.0089658386623706,3.8617212322143946
A:E1,84,4.0089658386623706,3.8617212322143946
G:E1,85,4.0706422361802534,3.9211323280946155
M:2DL,85,4.0706422361802534,3.9211323280946155
H:E1&E2&E3,85,4.0706422361802534,3.9211323280946155
F:3B,82,4.198038734815887,4.050070664243893
K:A2R,85,4.68740621135908,4.51524328689683
D:E8,85,4.68740621135908,4.51524328689683
D:J6,85,4.68740621135908,4.51524328689683
E:11A,84,4.980369099569023,4.797445992327883
Q:PMH,82,5.691850399507454,5.482795419803294
