Hospital_anonymized,ha_cluster,sequenced_all,sequenced_inpatient,sequenced_staff_outpatient,n_wards,open_data_join,denominator_available,beds_total,ip_discharges,patient_days,inpatient_per_1000_beds,inpatient_per_100k_discharges,inpatient_per_100k_patient_days
D,HKEC,4,4,0,2,yes,True,3806.0,71086.0,493728.0,1.050972149238045,5.626987029794896,0.8101626806662777
K,HKEC,2,2,0,1,yes,True,524.0,3538.0,75649.0,3.8167938931297707,56.529112492933855,2.6437890785073166
F,KEC,5,5,0,1,yes,True,1650.0,40071.0,216958.0,3.0303030303030303,12.477851813031869,2.304593515795684
E,KWC,6,3,3,1,yes,True,2594.0,47560.0,325034.0,1.1565150346954511,6.307821698906644,0.9229803651310324
Q,KWC,6,5,1,1,yes,True,3636.0,83586.0,501099.0,1.3751375137513753,5.981862991410045,0.997806820608303
C,NTEC,7,5,2,1,yes,True,3768.0,82636.0,466939.0,1.326963906581741,6.050631685948013,1.0708036809947337
G,NTEC,12,9,3,2,yes,True,1240.0,28355.0,143043.0,7.258064516129033,31.74043378592841,6.2918143495312595
J,NTEC,8,5,3,1,yes,True,1434.0,33134.0,201748.0,3.486750348675035,15.090239633005373,2.478339314392212
M,NTEC,3,2,1,1,yes,True,2108.0,9639.0,268463.0,0.9487666034155597,20.749040356883494,0.7449816175785862
N,NTEC,9,3,6,1,yes,True,1182.0,8853.0,187281.0,2.5380710659898473,33.88681802778719,1.601870985310843
A,NTWC,26,17,9,3,yes,True,4186.0,86982.0,631180.0,4.061156235069279,19.54427352785634,2.6933679774390824
H,NTWC,9,2,7,1,no,False,,,,,,
I,NTWC,29,25,4,2,yes,True,2312.0,2640.0,249217.0,10.813148788927334,946.969696969697,10.031418402436431
