excluded,remaining_cases,pooled_ratio_nt_urban_inpatient_per_1000_beds,mean_ratio_nt_urban_inpatient_per_1000_beds
A,100,3.0299658898912942,3.0158066117408784
D,122,5.117275725149741,5.305913437548194
C,119,3.742899040453952,3.773855957484416
E,120,4.797445992327882,4.599396557311088
F,121,4.050070664243893,4.054637816568456
G,114,3.5052546569330656,3.5469581301214737
H,117,3.921132328094616,3.9349286381648922
I,97,2.5546771228495224,2.525608197648071
K,124,4.51524328689683,4.598467961747859
M,123,3.921132328094616,3.9440293280066228
J,118,3.742899040453952,3.773855957484416
N,117,3.8617212322143946,3.8873048711658873
Q,120,5.482795419803294,5.048956946123402
