Hospital_anonymized,Wards,ha_cluster,region,confirmed,path,cases,n_inpatient,n_staff_outpatient,lineages,is_ba56_ward
A,AE*,NTWC,NT,False,staff_outpatient_before_inpatient,7,1,6,BA.2.2,False
A,D4,NTWC,NT,True,same_day,9,4,5,"BA.2.12.1,BA.2.2",False
A,E1,NTWC,NT,True,inpatient_only,3,3,0,"BA.2.12.1,BA.2.2",False
A,H1,NTWC,NT,True,staff_outpatient_before_inpatient,14,10,4,BA.2.2,False
A,R11B*,NTWC,NT,False,staff_outpatient_only,2,0,2,BA.2.2,False
B,B101*,NTWC,NT,False,inpatient_only,3,3,0,BA.2.2,False
C,12C*,NTEC,NT,False,staff_outpatient_only,3,0,3,BA.2.2,False
C,3F,NTEC,NT,True,inpatient_before_staff_outpatient,7,5,2,BA.2.2,False
D,E8,HKEC,Urban_in_sample,True,inpatient_only,2,2,0,BA.2.2,False
D,J6,HKEC,Urban_in_sample,True,inpatient_only,2,2,0,BA.2.2,False
E,11A,KWC,Urban_in_sample,True,staff_outpatient_before_inpatient,6,3,3,BA.2.2,False
F,3B,KEC,Urban_in_sample,True,inpatient_only,5,5,0,BA.2.2,False
G,CATERING*,NTEC,NT,False,staff_outpatient_only,4,0,4,BA.2.2,False
G,E1,NTEC,NT,True,inpatient_only,2,2,0,BA.2.2,False
G,E5,NTEC,NT,True,inpatient_before_staff_outpatient,10,7,3,BA.2.2,False
H,E1&E2&E3,NTWC,NT,True,staff_outpatient_before_inpatient,9,2,7,"BA.2.12.1,BA.2.2",False
I,A102,NTWC,NT,True,inpatient_before_staff_outpatient,22,21,1,BA.5.6,True
I,E002,NTWC,NT,True,same_day,7,4,3,BA.2.2,False
J,3H,NTEC,NT,True,same_day,8,5,3,BA.2.2,False
J,AE01*,NTEC,NT,False,staff_outpatient_only,2,0,2,BA.2.2,False
J,STAFF*,NTEC,NT,False,staff_outpatient_only,4,0,4,BA.2.2,False
K,A2R,HKEC,Urban_in_sample,True,inpatient_only,2,2,0,BA.2.2,False
L,2A*,NTWC,NT,False,inpatient_before_staff_outpatient,2,1,1,BA.2.2,False
M,2DL,NTEC,NT,True,inpatient_before_staff_outpatient,3,2,1,BA.2.2,False
N,9D,NTEC,NT,True,staff_outpatient_before_inpatient,9,3,6,BA.2.2,False
N,NEATS*,NTEC,NT,False,inpatient_before_staff_outpatient,4,3,1,"BA.2.12.1,BA.2.2",False
O,L2*,KWC,Urban_in_sample,False,staff_outpatient_before_inpatient,3,1,2,BA.2.2,False
P,C7*,HKEC,Urban_in_sample,False,inpatient_only,2,2,0,BA.2.2,False
Q,PMH,KWC,Urban_in_sample,True,inpatient_before_staff_outpatient,6,5,1,BA.2.2,False
