Hospital_anonymized,Wards,confirmed,ha_cluster,first_sampling_order,cases
A,AE*,False,NTWC,non_inpatient_before_inpatient,7
A,D4,True,NTWC,same_day_first_sample,9
A,E1,True,NTWC,inpatient_only,3
A,H1,True,NTWC,non_inpatient_before_inpatient,14
A,R11B*,False,NTWC,non_inpatient_only,2
B,B101*,False,NTWC,inpatient_only,3
C,12C*,False,NTEC,non_inpatient_only,3
C,3F,True,NTEC,inpatient_before_non_inpatient,7
D,E8,True,HKEC,inpatient_only,2
D,J6,True,HKEC,inpatient_only,2
E,11A,True,KWC,non_inpatient_before_inpatient,6
F,3B,True,KEC,inpatient_only,5
G,CATERING*,False,NTEC,non_inpatient_only,4
G,E1,True,NTEC,inpatient_only,2
G,E5,True,NTEC,inpatient_before_non_inpatient,10
H,E1&E2&E3,True,NTWC,non_inpatient_before_inpatient,9
I,A102,True,NTWC,inpatient_before_non_inpatient,22
I,E002,True,NTWC,same_day_first_sample,7
J,3H,True,NTEC,same_day_first_sample,8
J,AE01*,False,NTEC,non_inpatient_only,2
J,STAFF*,False,NTEC,non_inpatient_only,4
K,A2R,True,HKEC,inpatient_only,2
L,2A*,False,NTWC,inpatient_before_non_inpatient,2
M,2DL,True,NTEC,inpatient_before_non_inpatient,3
N,9D,True,NTEC,non_inpatient_before_inpatient,9
N,NEATS*,False,NTEC,inpatient_before_non_inpatient,4
O,L2*,False,KWC,non_inpatient_before_inpatient,3
P,C7*,False,HKEC,inpatient_only,2
Q,PMH,True,KWC,inpatient_before_non_inpatient,6
